3374098,3194206,1
3374113,3194279,0,2
3374113,3194310,1,3
3374108,3194343,2,4
3374016,3194508,3,5
3374006,3194538,4,6
3374005,3194577,5,7
3374014,3194609,6,8
3374040,3194662,7,9
3374048,3194678,8,10
3374053,3194699,9,11
3374049,3194729,10,12
3374042,3194742,11,13
3374028,3194749,12,14
3374005,3194748,13,15
3373983,3194741,14,16
3373930,3194705,15,17
3373899,3194693,16,18
3373836,3194694,17,19
3373825,3194704,18,20
3373779,3194875,19,21
3373776,3194906,20,22
3373783,3194921,21,23
3373809,3194952,22,24
3373814,3194967,23,25
3373819,3195066,24,26
3373814,3195095,25,27
3373685,3195379,26,28
3373686,3195442,27,29
3373698,3195498,28,30
3373695,3195521,29,31
3373686,3195529,30,32
3373676,3195523,31,33
3373653,3195475,32,34
3373638,3195433,33,35
3373623,3195415,34,36
3373605,3195417,35,37
3373571,3195437,36,38
3373566,3195611,37,39
3373399,3195673,38,40
3373345,3195500,39,41
3373158,3195771,40,42
3372988,3195796,41,43
3372824,3195851,42,44
3372666,3196136,43,45
3372691,3196362,44,46
3372598,3196421,45,47
3372475,3196414,46,48
3372376,3196633,47,49
3372312,3196685,48,50
3372253,3196866,49,51
3372185,3196928,50,52
3372111,3197102,51,53
3372150,3197269,52,54
3372076,3197248,53,55
3371914,3197376,54,56
3371904,3197909,55,57
3372003,3198006,56,58
3372101,3198187,57,59
3371989,3198112,58,60
3371870,3198284,59,61
3371929,3198692,60,62
3371697,3198564,61,63
3371703,3198772,62,64
3372016,3199423,63,65
3371932,3199651,64,66
3371837,3199631,65,67
3371798,3199743,66,68
3371876,3199818,67,69
3371860,3199978,68,70
3371852,3200000,69
3371847,3200000,72
3371794,3200075,71,73
3371721,3200026,72,74
3371578,3200186,73,75
3371607,3200374,74,76
3371706,3200423,75,77
3371770,3200457,76,78
3371575,3200904,77,79
3371548,3200986,78,80
3371465,3200965,79,81
3371396,3201104,80,82
3371332,3201104,81,83
3371283,3201271,82,84
3371219,3201347,83,85
3371175,3201737,84,86
3371219,3201779,85,87
3371175,3201841,86,88
3371244,3201959,87,89
3371212,3202027,88,90
3371087,3202471,89,91
3371293,3202877,90,92
3371190,3203378,91
3376038,3248319,94,97,144
3376126,3248083,93,95
3376054,3247948,94,96
3376209,3247523,95,101,136
3375837,3248374,93,98
3375726,3248187,97,99
3375434,3248078,98,100
3375020,3248156,99
3376167,3247373,96,102
3376012,3247279,101,103
3376119,3246875,102,104
3375717,3246742,103,105
3375553,3246896,104,106
3375491,3246826,105,107
3375491,3246747,106
3377125,3247694,109,139,145
3377130,3247674,108,110
3377129,3247657,109,111
3377118,3247634,110,112
3377124,3247519,111,113
3377130,3247503,112,114
3377141,3247492,113,115
3377152,3247487,114,116
3377185,3247485,115,117
3377196,3247481,116,118
3377206,3247470,117,119
3377234,3247416,118,120
3377246,3247388,119,121
3377262,3247366,120,122
3377281,3247348,121,123
3377318,3247328,122,124
3377325,3247319,123,125
3377343,3247290,124,126
3377353,3247281,125,127
3377370,3247276,126,128
3377375,3247271,127,129
3377383,3247241,128,130
3377391,3247230,129,131
3377401,3247224,130,132
3377417,3247228,131,133
3377424,3247226,132,134
3377433,3247214,133,135
3377451,3247182,134
3376435,3247394,96,137
3376563,3247360,136,138
3376948,3247580,137,139
3377062,3247554,138,108
3376431,3250000,141,170
3376452,3249707,140,142
3376595,3249516,141,143
3376374,3249260,142,144
3376189,3248532,143,93
3377164,3247781,108,146
3376874,3247918,145,147
3376902,3248065,146,148
3377022,3248045,147,149
3377338,3248373,148,150
3377357,3248777,149,151
3377142,3248904,150,152
3377024,3249267,151,153
3377134,3249824,152,154
3377169,3250000,153,171
3375004,3250536,156
3375102,3250966,155,164,165
3376093,3250532,158,163
3376211,3250082,157,169
3376128,3251482,160,168,185
3376049,3251234,159,161
3376099,3250997,160,162
3376132,3250799,161,163
3376064,3250770,162,157
3375019,3251145,156
3375491,3251095,156,166
3375614,3251229,165,167
3375570,3251461,166,168
3375872,3251676,167,159
3376265,3250038,158,170
3376364,3250094,169,140
3377235,3250161,154,172
3377141,3250393,171,173
3377053,3250490,172,174
3377156,3250732,173,175
3377081,3251089,174,176
3376956,3251138,175,177
3376896,3251151,176,178
3377057,3251217,177,179
3376729,3251605,178,180
3376784,3251409,179,181
3376498,3251462,180,182
3376653,3251508,181,183
3376483,3251548,182,184
3376457,3251585,183,185
3376271,3251485,184,159
3181255,3893652,187,213,247
3181253,3893615,186,188
3181272,3893586,187,189
3181305,3893549,188,190
3181323,3893506,189,191
3181352,3893498,190,192
3181363,3893463,191,193
3181391,3893427,192,194
3181394,3893388,193,195
3181420,3893356,194,196
3181428,3893333,195,197
3181425,3893281,196,198
3181433,3893261,197,199
3181455,3893230,198,200
3181468,3893189,199,201
3181509,3893149,200,202
