3079214,4481189,1
3079248,4481124,0,11,63,64
3078073,4480000,3
3078117,4480052,2,4
3078141,4480108,3,5
3078153,4480163,4,6
3078158,4480234,5,7
3078164,4480282,6,8
3078176,4480317,7,9
3078229,4480393,8,10
3078382,4480506,9,61,62
3079277,4481064,1,12
3079282,4481022,11,13
3079274,4480970,12,14
3079279,4480940,13,15
3079300,4480896,14,16
3079324,4480856,15,17
3079368,4480812,16,18
3079390,4480783,17,19
3079405,4480737,18,20
3079413,4480699,19,21
3079416,4480632,20,22
3079403,4480590,21,23
3079373,4480534,22,24
3079364,4480510,23,25
3079372,4480482,24,26
3079377,4480471,25,27
3079396,4480461,26,28
3079456,4480485,27,29
3079491,4480498,28,30
3079526,4480503,29,31
3079551,4480495,30,32
3079577,4480475,31,33
3079592,4480434,32,34
3079601,4480385,33,35
3079630,4480325,34,36
3079670,4480264,35,37
3079720,4480203,36,38
3079746,4480183,37,39
3079755,4480156,38,40
3079766,4480111,39,41
3079787,4480093,40,42
3079824,4480087,41,43
3079880,4480086,42,44
3079920,4480070,43,45
3079948,4480043,44,46
3079958,4480000,45
3078214,4480000,48
3078331,4480117,47,49,70
3078284,4480231,48,50
3078277,4480292,49,51
3078281,4480334,50,52
3078295,4480367,51,53
3078319,4480400,52,54
3078340,4480411,53,55
3078360,4480411,54,56
3078413,4480343,55,57
3078429,4480333,56,58
3078449,4480337,57,59
3078456,4480351,58,60
3078456,4480373,59,61
3078447,4480397,60,10
3078788,4480895,10,63
3078935,4480897,62,1
3079301,4481179,1,65
3079395,4481306,64,66
3079502,4481534,65,67
3079629,4481583,66,68
3079883,4481536,67,69
3080000,4481637,68,395
3078351,4480137,48,71
3078513,4480254,70,72
3078691,4480338,71,73
3078890,4480414,72,74
3079171,4480594,73,75
3079425,4480858,74,76
3079624,4481095,75,77
3079792,4481204,76,78
3079972,4481297,77,79
3080000,4481311,78,400
3083192,4480193,81,203
3083771,4480144,80,82
3083960,4480163,81,222
3087725,4486758,84
3087786,4486628,83,174,285
3089613,4480199,86,172,191
3089934,4480000,85
3088360,4488382,88,117,129
3088255,4488740,87,89
3088008,4488846,88,90
3087206,4488948,89,91
3086901,4489161,90,287,413
3089176,4480894,93,188,331,349
3089369,4481037,92,94
3089539,4481245,93,95
3089719,4481653,94,96
3089741,4481753,95,97
3089720,4481806,96,98
3089666,4481870,97,99
3089588,4481928,98,100
3089475,4481943,99,101
3089424,4481970,100,102
3089384,4482018,101,103
3089370,4482200,102,104
3089325,4482338,103,105
3089311,4482475,104,106
3089324,4482577,105,107
3089311,4482688,106,334,335
3089124,4484476,109,123,323
3089246,4484471,108,338,407,410
3086543,4484342,111,297
3086633,4484342,110,112
3086936,4484268,111,113
3087009,4484221,112,320,321
3088250,4480000,115
3088330,4480027,114,116
3088409,4480070,115,364,365
3088426,4488411,87,173,419
3088292,4486742,119,166,181,300
3088418,4486334,118,120
3088620,4485888,119,121
3088596,4484905,120,122
3088731,4484737,121,123
3088879,4484675,122,108
3085514,4484405,125
3085633,4484383,124,303,302
3086262,4483739,127,177,243,295
3086380,4483582,126,307,309
3088278,4487941,129,183,394
3088286,4488320,128,87
3084514,4483960,131,138,168,187
3084900,4484018,130,272,275,134
3084553,4483744,133,187,136
3084662,4483803,132,134
3084909,4483838,133,131,291,304
3084706,4483326,136
3084611,4483586,135,132,304
3084176,4483826,138,221,219
3084415,4483950,137,130
3085012,4480000,140
3084982,4480274,139,141
3084812,4480736,140,142
3084728,4481097,141,143
3084846,4481614,142,144
3084852,4481705,143,249,391,392
3082044,4482416,146,167,192
3081926,4482640,145,147
3081989,4482766,146,148
3082604,4483119,147,149
3082723,4483086,148,150
3082819,4483096,149,151
3082917,4483165,150,152
3082988,4483275,151,205,206
3081526,4482043,154,167,399
3081493,4481784,153,155
3081607,4481680,154,156
3081735,4481290,155,157
3081898,4481105,156,158
3081981,4480970,157,159
3082042,4480793,158,160
3082302,4480538,159,161
3082505,4480565,160,162
3083069,4480374,161,163
3083462,4480000,162
3088548,4487221,165,166,393
3088635,4487398,164,412,422
3088470,4486991,118,164
3081750,4482204,153,145,378
3084503,4484132,130,169
3084330,4484433,168,266,267
3085450,4484488,171
3085307,4484589,170,184,288
3089720,4480000,85
3088426,4488285,117
3087891,4486876,84,175
3087872,4487073,174,176
3087958,4487382,175,180,182
3086337,4483807,126,178
3086458,4484000,177,179
3086607,4484602,178,298,301
3088139,4487325,176,181
3088225,4487221,180,118
3087912,4487471,176,183
3087956,4487638,182,128
3085392,4484674,171,185
3085471,4484664,184,186
3085603,4484829,185,278,286
3084525,4483849,132,130
3089313,4480588,92,189,190
3089219,4480563,188
3089344,4480502,188,191
3089395,4480419,190,85
3082119,4482463,145,193
3082223,4482496,192,244,379
3081478,4480792,195,406
3081563,4480661,194,196
3081685,4480511,195,197
3081817,4480428,196,198
3081888,4480405,197,199
3082071,4480390,198,200
3082394,4480428,199,201
3082497,4480415,200,202
3082628,4480396,201,203
3082783,4480344,202,80
3082776,4483314,205
3082907,4483268,204,152
3083133,4483315,152,207
3083255,4483256,206,208
3083606,4483199,207,209
3083802,4483202,208,210
3083872,4483214,209,211
3083924,4483250,210,212
3083965,4483392,211,213,218
3084002,4483459,212,214
3084098,4483501,213,215
3084227,4483452,214,216
3084282,4483408,215,217
3084320,4483411,216,220,238
3083917,4483417,212,219
3083851,4483614,218,137,265
3084314,4483459,217,221
3084277,4483495,220,137
3084559,4480312,82,223
3084732,4480364,222,224
3085218,4480558,223,225
3085655,4480829,224,226
3086093,4481146,225,227
3086581,4481569,226,228
3087681,4482903,227,229,423
3087461,4483057,228,230
3087434,4483070,229,231
3087403,4483072,230,232
3087380,4483062,231,233
3087355,4483038,232,234
3087329,4482999,233,235,264
3087403,4482958,234,236
3087496,4482903,235,237
3087871,4482561,236,328,332
3084377,4482876,217,239,248
3084432,4482887,238,240,255
3084598,4482921,239,241
3085368,4482941,240,242
3085509,4482968,241,243
3085627,4483042,242,126
3082836,4482636,193,245
3083288,4482405,244,246
3083783,4482485,245,247
3084127,4482816,246,248
3084260,4482852,247,238
3084854,4481722,144,250
3084846,4481773,249,251
3084699,4482097,250,252
3084681,4482290,251,253
3084615,4482414,252,254
3084473,4482550,253,255
3084458,4482675,254,239,377
3085823,4482164,257,260,315,392
3085798,4481968,256,258
3085852,4481648,257,259
3085810,4481431,258,313,318
3085964,4482278,256,261
3086395,4482796,260,262
3086695,4483149,261,263
3086781,4483251,262,264,308,320
3086847,4483221,263,234,339
3083852,4483746,219,266
3084188,4484275,265,169
3084453,4484513,169,268
3084737,4484923,267,269
3084999,4485360,268,270
3085093,4485442,269,271
3085609,4485649,270,277,290
3085079,4484045,131,273
3085082,4484116,272,274
3085146,4484271,273,288,276
3084908,4484304,131,276
3084974,4484392,275,274,289
3085769,4485713,271,286,287
3086082,4485426,186,279
3086221,4485656,278,280
3086396,4485788,279,281
3086596,4486219,280,282
3086889,4486212,281,283
3087084,4486262,282,284
3087150,4486417,283,285
3087714,4486517,284,84
3085831,4485462,186,277
3085788,4485811,277,91
3085218,4484448,274,171
3085219,4484719,276,290
3085435,4485148,289,271
3085793,4483964,292,293,134
3085806,4483833,291,305,295,304
3085835,4484121,291,294,303
3086065,4484172,293,296,302,295
3086143,4483946,126,292,294
3086169,4484195,294,297
3086470,4484336,296,110
3086799,4485381,179,299
3087104,4486066,298,300
3087626,4486363,299,118,375
3086467,4484661,179,302
3086064,4484527,301,125,294
3085647,4484102,125,293
3084896,4483703,136,292,134
3085912,4482747,292,306
3085873,4482489,305,315,312
3086450,4483489,127,308
3086667,4483303,307,263
3086359,4483446,127,310
3086335,4483145,309,311
3086263,4482817,310,312
3086263,4482430,311,306,316,319
3085672,4480709,259,314
3085925,4480394,313,350,352
3085857,4482386,306,377,256
3086275,4482273,312,317
3086047,4481658,316,318
3085963,4481501,317,259
3086743,4482359,312,339,340
3086923,4483632,263,113
3087094,4484167,113,322
3087298,4484040,321,323
3087964,4484199,322,108,324,376
3087990,4483532,323,325
3088098,4483260,324,326
3088194,4482974,325,327
3088158,4482774,326,332,333
3088263,4482014,237,329
3089059,4481307,328,330
3089119,4481223,329,331
3089151,4481123,330,92
3088038,4482631,327,237
3088890,4482774,327,334
3089034,4482702,333,107
3089291,4482869,107,336
3089341,4483193,335,337
3089333,4483702,336,338
3089246,4484184,337,109
3086791,4483088,319,264
3087079,4482330,319,341
3087319,4482202,340,342
3087642,4481915,341,343
3087894,4481715,342,344
3088122,4481300,343,345
3088278,4481215,344,346
3088513,4481123,345,347
3088828,4480703,346,348,370,371
3088906,4480706,347,349
3088975,4480740,348,92
3086308,4480098,314,351
3086312,4480000,350
3086179,4480414,314,353
3086383,4480357,352,354
3086503,4480442,353,355
3086539,4480686,354,356
3086635,4480829,355,357
3086779,4480743,356,358
3086995,4480743,357,359
3087139,4480743,358,360
3087343,4480643,359,361
3087822,4480628,360,362
3087872,4480453,361,363
3087870,4480128,362,364
3087963,4480072,363,116
3088497,4480175,116,366
3088549,4480297,365,367
3088629,4480383,366,368
3088690,4480415,367,369
3088714,4480449,368,370
3088779,4480666,369,347
3088900,4480617,347,372
3088948,4480410,371,373
3089212,4480077,372,374
3089286,4480000,373
3087666,4485806,300,376
3087930,4485734,375,323
3084788,4482668,255,315
3081681,4482320,167
3082265,4482472,193,380
3082406,4482452,379,381
3082479,4482405,380,382
3082563,4482251,381,383
3082720,4481929,382,384
3082816,4481762,383,385
3082916,4481667,384,386
3083131,4481528,385,387
3083438,4481399,386,388
3083723,4481343,387,389
3083957,4481320,388,390
3084080,4481332,389,391
3084334,4481440,390,144
3085739,4482109,256,144
3088480,4487357,164,394
3088295,4487447,393,128
3080146,4481764,69,396
3080546,4481906,395,397
3080890,4481982,396,398
3081075,4481847,397,399
3081204,4481835,398,153
3080138,4481379,79,401
3080343,4481450,400,402
3080543,4481469,401,403
3080796,4481429,402,404
3081058,4481279,403,405
3081315,4481029,404,406
3081423,4480866,405,194
3089302,4484706,109,408
3089560,4485116,407,409
3090000,4485270,408,666
3089629,4484435,109,411
3090000,4484312,410,677
3089660,4490000,165,2093
3087293,4489758,91,414
3087433,4489809,413,415
3087828,4489680,414,416
3088374,4489799,415,417
3088515,4489900,416,418
3088597,4490000,417,2095
3088807,4488636,117,420
3088834,4488842,419,421
3089517,4490000,420,2097
3090000,4487718,165,688
3087809,4483059,228,424
3088072,4483456,423,425
3088322,4484061,424,426
3088705,4485134,425,427
3088882,4485471,426,428
3090000,4487076,427,690
3094616,4485011,430,520,551
3094956,4485132,429,431
3095240,4484932,430,432
3095287,4484709,431,433
3095496,4484302,432,434
3095487,4484228,433
3095191,4488592,436,509,654
3095022,4488364,435,437
3095110,4488260,436,438
3095069,4488246,437,439
3095039,4488116,438,440
3094903,4488142,439,441
3094728,4488238,440,442
3094704,4488165,441,443
3094833,4488058,442,444
3094980,4487791,443,445
3094968,4487490,444,446
3094878,4487402,445,447
3094912,4487108,446,448
3094616,4487150,447,449
3094534,4487073,448,450
3094467,4486921,449,451
3094472,4486690,450,452
3094534,4486654,451,453
3094448,4486355,452,454
3094476,4486211,453,455
3094459,4485992,454,456
3094478,4485867,455,554,557
3093146,4482490,458
3093334,4482496,457,459
3093413,4482402,458,460
3093483,4482559,459,461
3093552,4482601,460,555,656
3093571,4480000,463
3093650,4480085,462,464
3093631,4480148,463,465
3093273,4480399,464,466
3093151,4480430,465,467
3093073,4480566,466,468
3092824,4480742,467,469
3092472,4480774,468,470
3092354,4480726,469,471
3091838,4480575,470,472
3091442,4480728,471,487,579
3099904,4485167,474,504,731
3099680,4485206,473,475
3099628,4485236,474,476
3099570,4485352,475,477
3099478,4485414,476,478
3099082,4485637,477,479
3098248,4486036,478,480
3098128,4486008,479,481
3097855,4486082,480,482
3097724,4486288,481,483
3097487,4486373,482,484
3097513,4486514,483,578,614
3098033,4480000,486
3098186,4480097,485,499,593,625
3091495,4480871,472,662,663
3091271,4488186,489,676,689,717
3091343,4488228,488,490
3091505,4488375,489,491
3091813,4488401,490,492
3091948,4488512,491,493
3092364,4488371,492,494
3092474,4488410,493,495
3092731,4488252,494,496
3093019,4488453,495,497
3093115,4488582,496,655
3098354,4480000,499
3098313,4480039,498,486
3098036,4481406,501,590,597
3097996,4481438,500,502
3097889,4481464,501,550,580
3099917,4484790,504,604,716
3099891,4485076,503,473
3096656,4489240,506,517,713
3096783,4489258,505,507
3096922,4489139,506,508
3097231,4489258,507,624,732
3095240,4488438,435,510
3095484,4488204,509,511
3095590,4488210,510,512
3095911,4488465,511,513
3096090,4488530,512,514
3096261,4488513,513,515
3096390,4488768,514,516
3096486,4488851,515,517
3096565,4489154,516,505
3093988,4483832,519,521,556,642
3094460,4484760,518,520
3094528,4484980,519,429
3094188,4483978,518,522
3094354,4484041,521,523
3094426,4484032,522,524
3094659,4483884,523,525
3094677,4483811,524,526
3095257,4483260,525,527
3095370,4483280,526,528
3095448,4483109,527,529
3095531,4483028,528,530
3095670,4483018,529,531
3095705,4482924,530,532
3095635,4482841,531,533
3095711,4482585,532,534
3095792,4482548,533,535
3095889,4482650,534,536
3095958,4482642,535,537
3095993,4482569,536,538
3096097,4482621,537,539
3096196,4482563,538,540
3096202,4482319,539,541
3096293,4482188,540,542
3096436,4482205,541,543
3096572,4481999,542,544
3096725,4482012,543,545
3096720,4482213,544,546
3096751,4482246,545,547
3096813,4481991,546,548
3096659,4481920,547,549
3097680,4481771,548,550
3097878,4481564,549,502
3094614,4485162,429,552
3094677,4485272,551,553
3094680,4485460,552,554
3094485,4485606,553,456
3093554,4482682,556,461,665
3093832,4483146,555,518
3094852,4486112,456,558
3094858,4486202,557,559
3095012,4486288,558,560
3095217,4486243,559,561
3095346,4486122,560,562
3095417,4486190,561,563
